,Experience,Start,Finish,Type,country,continent,iso_alpha
0,PhD Molecular biology,2019-10-01,2023-05-31,Work Experience,France,Europe,FRA
1,Data Scientist GeodAIsics,2024-09-01,2026-08-31,Work Experience,France,Europe,FRA
2,Editor Microbites,2024-10-01,2026-08-31,Writing Experience,France,Europe,FRA
3,Writer Microbites,2024-02-01,2026-08-31,Writing Experience,France,Europe,FRA
4,Summer School Scientific Mediation,2024-07-01,2024-07-31,Education,France,Europe,FRA
5,Summer School Communication <br> between physics and society,2023-08-01,2023-08-31,Education,Netherlands,Europe,NLD
,Spring School Bioinformatics and <br> Computational Approaches in Microbiology,2022-05-01,2022-05-31,Teaching,Switzerland,Europe,CHE
,Cell Biology practical,2021-09-01,2021-12-01,Teaching,France ,Europe,FRA
,Physics exam training,2015-01-01,2019-06-30,Teaching,Netherlands,Europe,NLD
,Master Molecular Biology and Biotechnology,2018-09-01,2019-06-30,Education,Netherlands,Europe,NLD
,Bachelor Liberal Arts and Science,2013-09-01,2016-06-30,Education,Netherlands,Europe,NLD
,Exchange Bilkent Universitesi,2015-09-01,2015-12-31,Education,Turkey,Europe,TUR
,Via Francigena,2017-02-01,2017-05-15,Long Walk,Italy,Europe,ITA
,Traversee des Pyrenees,2023-06-01,2023-07-31,Long Walk,France,Europe,FRA
